,Price,Rating,Discount,Category_B,Category_C,Category_D,Stock_Out of Stock
0,4004.0,3.0382925191086185,0.0,0,1,0,0
1,1817.0,3.0382925191086185,23.0,0,1,0,1
2,3522.0,3.0382925191086185,25.0,0,1,0,0
3,2777.0,2.678384421487482,6.0,0,0,0,0
4,1151.0,2.947838084766442,25.0,0,0,0,0
5,7719.0,2.9822417824846874,4.0,0,1,0,0
6,8530.0,3.0382925191086185,10.0,1,0,0,0
7,7936.0,3.032832041059039,44.0,0,0,0,0
8,9319.0,3.479063511857313,28.0,1,0,0,0
9,2066.0,3.0382925191086185,30.0,0,0,1,0
10,1784.0,3.0382925191086185,12.0,1,0,0,0
11,5589.0,3.0382925191086185,39.0,0,1,0,0
12,4996.5,3.0382925191086185,25.0,0,1,0,1
13,407.0,2.7742698776847985,44.0,0,0,1,0
14,7011.0,3.0382925191086185,38.0,0,1,0,0
15,8418.0,3.0382925191086185,25.0,0,1,0,0
16,3405.0,3.0382925191086185,48.0,0,1,0,0
17,1732.0,3.0382925191086185,25.0,0,0,1,0
18,704.0,3.0382925191086185,47.0,0,1,0,0
19,4996.5,3.0382925191086185,25.0,0,1,0,0
20,9307.0,3.0382925191086185,21.0,0,1,0,1
21,4730.0,3.0382925191086185,30.0,0,1,0,0
22,9230.0,3.0382925191086185,8.0,0,1,0,0
23,1112.0,3.0382925191086185,38.0,0,1,0,0
24,4390.0,3.0382925191086185,34.0,0,1,0,0
25,8484.0,3.0382925191086185,36.0,0,1,0,1
26,4589.0,3.0382925191086185,47.0,0,1,0,1
27,2260.0,3.0382925191086185,37.0,0,0,0,0
28,8675.0,2.778260648243727,25.0,0,1,0,1
29,5412.0,3.0382925191086185,24.0,0,1,0,1
30,6304.0,3.0382925191086185,31.0,0,0,0,0
31,9870.0,2.8036864935783328,37.0,0,1,0,1
32,1134.0,2.886833030618752,15.0,0,1,0,0
33,9795.0,3.0382925191086185,17.0,1,0,0,0
34,3445.0,3.0382925191086185,3.0,1,0,0,0
35,1624.0,3.0382925191086185,34.0,0,1,0,1
36,9888.0,3.0382925191086185,29.0,0,1,0,0
37,3977.0,3.0382925191086185,32.0,0,0,1,1
38,2251.0,3.0382925191086185,25.0,0,0,1,0
39,7842.0,3.0382925191086185,30.0,0,1,0,0
40,3182.0,3.0382925191086185,13.0,0,1,0,0
41,1136.0,3.0382925191086185,19.0,0,1,0,0
42,1066.0,3.0382925191086185,10.0,0,1,0,1
43,1788.0,3.0382925191086185,7.0,0,1,0,1
44,6249.0,3.0382925191086185,16.0,0,1,0,0
45,8026.0,3.0382925191086185,46.0,0,0,1,0
46,8631.0,3.3084805096007277,10.0,0,1,0,0
47,1441.0,3.41463486419962,43.0,0,1,0,0
48,6884.0,3.0382925191086185,49.0,0,1,0,0
49,2544.0,3.0382925191086185,25.0,0,0,1,0
50,6114.0,3.0382925191086185,44.0,1,0,0,0
51,8117.0,3.0382925191086185,45.0,0,1,0,0
52,4077.0,3.0382925191086185,28.0,0,0,0,1
53,2877.0,3.1301621702727505,49.0,0,0,1,1
54,3282.0,3.0382925191086185,40.0,0,1,0,1
55,9493.0,2.7804614226232114,34.0,0,0,1,1
56,6578.0,3.125260769236996,28.0,0,1,0,0
57,7187.0,3.0382925191086185,12.0,0,1,0,0
58,1435.0,3.0382925191086185,23.0,0,1,0,0
59,1561.0,2.8560894572721987,6.0,0,1,0,0
60,4502.0,3.0382925191086185,40.0,0,1,0,0
61,4996.5,3.0382925191086185,1.0,0,1,0,0
62,7417.0,3.516107651706844,43.0,0,1,0,0
63,8024.0,3.0382925191086185,2.0,0,1,0,0
64,5250.0,3.0382925191086185,6.0,0,1,0,0
65,6554.0,3.0382925191086185,29.0,0,1,0,0
66,7267.0,3.0382925191086185,24.0,0,1,0,0
67,6879.0,3.0382925191086185,8.0,0,1,0,0
68,5427.0,3.0382925191086185,15.0,0,1,0,1
69,251.0,3.0382925191086185,21.0,0,1,0,0
70,6250.0,3.0382925191086185,33.0,0,1,0,0
71,9990.0,3.0382925191086185,19.0,0,1,0,1
72,2072.0,3.0382925191086185,10.0,0,1,0,0
